ID,诗名,花名,朝代,正文_preview,ccpoem_top5,ccpoem_top10,ccpoem_top10_with_score,ccpoem_cls_l2
11,早 梅,梅花,唐,万木冻欲折， 孤根暖独回。 前村深雪里， 昨夜一枝开。 风送幽香出， 禽窥素艳来,木、香、夜、冻、根,木 香 夜 冻 根 春 枝 律 雪 台,"[[""木"", 0.09694674611091614], [""香"", 0.06035870686173439], [""夜"", 0.056514568626880646], [""冻"", 0.05198867246508598], [""根"", 0.041624002158641815], [""春"", 0.031293563544750214], [""枝"", 0.030944492667913437], [""律"", 0.029272163286805153], [""雪"", 0.025428323075175285], [""台"", 0.024156806990504265]]",25.486567
12,十一月中旬扶风界见梅花,梅花,唐,匝路亭亭艳，非时裛袞香。 素娥惟与月，青女不饶霜。 赠远虚盈手，伤离适断肠。 为,霜、亭、香、青、月,霜 亭 香 青 月 娥 女 伤 路 肠,"[[""霜"", 0.05151167884469032], [""亭"", 0.03539998456835747], [""香"", 0.035086967051029205], [""青"", 0.034180302172899246], [""月"", 0.03295016661286354], [""娥"", 0.029592685401439667], [""女"", 0.02601529099047184], [""伤"", 0.025607191026210785], [""路"", 0.025357184931635857], [""肠"", 0.024707121774554253]]",25.493008
13,早 梅,梅花,宋,今日清江路， 寒梅第一枝。 不愁风嫋弱， 正奈雪垂垂。 暖热惟须酒， 平章却要诗,梦、愁、江、雪、垂,梦 愁 江 雪 垂 里 清 梅 平 枝,"[[""梦"", 0.07246909290552139], [""愁"", 0.04431416094303131], [""江"", 0.04396694153547287], [""雪"", 0.02470393106341362], [""垂"", 0.02459009923040867], [""里"", 0.0242202989757061], [""清"", 0.02254980243742466], [""梅"", 0.022097431123256683], [""平"", 0.020276300609111786], [""枝"", 0.0197328832000494]]",25.437887
14,梅 花,梅花,宋,疏枝横玉瘦， 小萼点珠光。 一朵忽先变， 百花皆后香。 欲传春信息， 不怕雪埋藏,萼、花、香、枝、玉,萼 花 香 枝 玉 信 忽 主 朵 笛,"[[""萼"", 0.07697510719299316], [""花"", 0.06591033190488815], [""香"", 0.053426433354616165], [""枝"", 0.0495590940117836], [""玉"", 0.046104442328214645], [""信"", 0.027102742344141006], [""忽"", 0.024547869339585304], [""主"", 0.023971926420927048], [""朵"", 0.023634159937500954], [""笛"", 0.02301599457859993]]",25.550629
15,探 梅,梅花,宋,踏破登山屐， .来寻傍山丛。 眼明千树底， 春在数花中。 格瘦诗难写， 香寒酒易,山、酒、香、寒、花,山 酒 香 寒 花 歌 烛 春 屐 登,"[[""山"", 0.05713978037238121], [""酒"", 0.0557415634393692], [""香"", 0.04702725633978844], [""寒"", 0.04476901888847351], [""花"", 0.0419912151992321], [""歌"", 0.034610919654369354], [""烛"", 0.032019972801208496], [""春"", 0.03156343847513199], [""屐"", 0.02966509573161602], [""登"", 0.029200095683336258]]",25.491186
16,铜坑看梅,梅花,明,人似梅花瘦， 舟如莲叶长。 青山十亩白， 流水一春香。 种密人难入， 开齐夜有光,山、苔、莲、折、花,山 苔 莲 折 花 叶 夜 水 梅 香,"[[""山"", 0.15699204802513123], [""苔"", 0.11638761311769485], [""莲"", 0.06603660434484482], [""折"", 0.0644187182188034], [""花"", 0.05147956684231758], [""叶"", 0.0477418527007103], [""夜"", 0.032192081212997437], [""水"", 0.026721591129899025], [""梅"", 0.024712221696972847], [""香"", 0.023591671139001846]]",25.535868
17,梅 花(其一),梅花,清,何处花先放？ 向南三两村。 未春天似梦， 彻夜月无言。 且喜昏鸦散， 毋嫌翠羽喧,翠、花、羽、坤、村,翠 花 羽 坤 村 天 梦 众 寞 南,"[[""翠"", 0.06602852791547775], [""花"", 0.05275057256221771], [""羽"", 0.039080750197172165], [""坤"", 0.03582633286714554], [""村"", 0.030129367485642433], [""天"", 0.02787349931895733], [""梦"", 0.023699071258306503], [""众"", 0.021710006520152092], [""寞"", 0.021630126982927322], [""南"", 0.01952028088271618]]",25.453304
18,梅 花(其二),梅花,清,离离压残雪， 脉脉照溪滨。 一任夜无月， 何妨天不春！ 芳华凭俗赏， 风味与谁亲,溪、雪、天、门、风,溪 雪 天 门 风 华 脉 春 滨 离,"[[""溪"", 0.12930752336978912], [""雪"", 0.07825054973363876], [""天"", 0.04253040626645088], [""门"", 0.03872242942452431], [""风"", 0.03350876644253731], [""华"", 0.03153983876109123], [""脉"", 0.02760019339621067], [""春"", 0.027512289583683014], [""滨"", 0.02478109858930111], [""离"", 0.023864829912781715]]",25.507071
19,和裴迪登蜀州东亭送客逢早梅相忆见寄,梅花,唐,东阁官梅动诗兴， 还如何逊在扬州。 此时对雪遥相忆， 送客逢春可自由。 幸不折来,愁、春、雪、梅、白,愁 春 雪 梅 白 逊 江 官 阁 乱,"[[""愁"", 0.11381780356168747], [""春"", 0.06438624858856201], [""雪"", 0.06036890298128128], [""梅"", 0.05732569471001625], [""白"", 0.04093857854604721], [""逊"", 0.032994695007801056], [""江"", 0.026591133326292038], [""官"", 0.02129611372947693], [""阁"", 0.02038177289068699], [""乱"", 0.01819956861436367]]",25.446785
20,酬崔八早梅有赠兼示之作,梅花,唐,知访寒梅过野塘， 久留金勒为回肠。 谢郎衣袖初翻雪， 荀令熏炉更换香。 何处拂胸,炉、室、香、蝶、雪,炉 室 香 蝶 雪 塘 额 粉 蜂 寒,"[[""炉"", 0.06774568557739258], [""室"", 0.040418338030576706], [""香"", 0.031709764152765274], [""蝶"", 0.02900414541363716], [""雪"", 0.025923151522874832], [""塘"", 0.025330938398838043], [""额"", 0.02454359270632267], [""粉"", 0.024400632828474045], [""蜂"", 0.02344459295272827], [""寒"", 0.0228394977748394]]",25.623688
21,梅,梅花,唐,吴王醉处十余里， 照夜拂衣今正繁。 经雨不随山鸟散， 倚风如共路人言。 愁怜粉艳,雨、香、黄、寒、繁,雨 香 黄 寒 繁 尊 山 王 风 愁,"[[""雨"", 0.11381275951862335], [""香"", 0.0410531610250473], [""黄"", 0.040762607008218765], [""寒"", 0.039024583995342255], [""繁"", 0.0325353667140007], [""尊"", 0.029818102717399597], [""山"", 0.02815571054816246], [""王"", 0.02769073285162449], [""风"", 0.02223346382379532], [""愁"", 0.02163899689912796]]",25.483538
22,梅,梅花,唐,含情含态一枝枝， 斜压渔家短短篱。 惹袖尚怜香半日， 向人如诉雨多时。 初开偏称,香、枝、愁、雨、烟,香 枝 愁 雨 烟 笛 梁 渔 雕 浦,"[[""香"", 0.07408014684915543], [""枝"", 0.05136176943778992], [""愁"", 0.039365869015455246], [""雨"", 0.039197325706481934], [""烟"", 0.03463786840438843], [""笛"", 0.03342230245471001], [""梁"", 0.029737770557403564], [""渔"", 0.02836393378674984], [""雕"", 0.027368174865841866], [""浦"", 0.025061076506972313]]",25.502567
23,山园小梅,梅花,宋,众芳摇落独暄妍， 占尽风情向小园。 疏影横斜水清浅， 暗香浮动月黄昏。 霜禽欲下,水、园、樽、板、金,水 园 樽 板 金 檀 月 横 黄 清,"[[""水"", 0.0518660843372345], [""园"", 0.04311724379658699], [""樽"", 0.032053567469120026], [""板"", 0.029945991933345795], [""金"", 0.02759465016424656], [""檀"", 0.02710478939116001], [""月"", 0.025643909350037575], [""横"", 0.024603834375739098], [""黄"", 0.024096285924315453], [""清"", 0.02405729331076145]]",25.526016
24,山园小梅,梅花,宋,剪绡零碎点酥干， 向背稀稠画亦难。 日薄纵甘春至晚， 霜深应怯夜来寒。 澄鲜只共,旗、江、酥、春、拂,旗 江 酥 春 拂 酒 甘 寒 霜 干,"[[""旗"", 0.07981743663549423], [""江"", 0.07258491963148117], [""酥"", 0.05609423667192459], [""春"", 0.04177011176943779], [""拂"", 0.04134918004274368], [""酒"", 0.04038646072149277], [""甘"", 0.0403352826833725], [""寒"", 0.03302862122654915], [""霜"", 0.03302353620529175], [""干"", 0.030634980648756027]]",25.555887
25,咏小梅,梅花,宋,数年闲作园林主， 未有新诗到小梅。 摘索又开三两朵， 团栾空绕百千回。 荒邻独映,山、香、邻、园、林,山 香 邻 园 林 栾 朵 愁 索 衔,"[[""山"", 0.10976129025220871], [""香"", 0.05201941356062889], [""邻"", 0.036688100546598434], [""园"", 0.036027710884809494], [""林"", 0.029653845354914665], [""栾"", 0.029202796518802643], [""朵"", 0.027426203712821007], [""愁"", 0.027168767526745796], [""索"", 0.027019770815968513], [""衔"", 0.0256506334990263]]",25.47797
26,歧亭道上见梅花戏赠季常,梅花,宋,蕙死兰枯菊亦摧， 返魂香入岭头梅。 数枝残绿风吹尽， 一点芳心雀嘷开。 野店初尝,心、云、嘷、风、钗,心 云 嘷 风 钗 岭 乌 叶 魂 江,"[[""心"", 0.0783354640007019], [""云"", 0.05340312421321869], [""嘷"", 0.041934821754693985], [""风"", 0.03454999998211861], [""钗"", 0.03258753567934036], [""岭"", 0.03136246278882027], [""乌"", 0.03039979189634323], [""叶"", 0.02753288857638836], [""魂"", 0.025956889614462852], [""江"", 0.02575182355940342]]",25.66317
27,次韵赏梅,梅花,宋,安知宋玉在邻墙？ 笑立春晴照粉光。淡薄似能知我意， 幽闲元不为人芳。微风拂掠生凉,淮、浓、洗、邻、墙,淮 浓 洗 邻 墙 粉 宋 廉 风 魂,"[[""淮"", 0.12517882883548737], [""浓"", 0.08839643001556396], [""洗"", 0.03593895211815834], [""邻"", 0.03568677976727486], [""墙"", 0.034870926290750504], [""粉"", 0.03252963349223137], [""宋"", 0.030745279043912888], [""廉"", 0.028372429311275482], [""风"", 0.026844708248972893], [""魂"", 0.021830113604664803]]",25.630205
28,梅 花,梅花,宋,家是江南友是兰， 水边月底怯新寒。 画图省识惊春早， 玉笛孤吹怨夜残。 冷淡合教,寒、江、月、春、水,寒 江 月 春 水 索 识 樽 夜 玉,"[[""寒"", 0.08612468093633652], [""江"", 0.04175209626555443], [""月"", 0.038304347544908524], [""春"", 0.03586477413773537], [""水"", 0.03569536283612251], [""索"", 0.03367941081523895], [""识"", 0.03236754611134529], [""樽"", 0.030836639925837517], [""夜"", 0.028989261016249657], [""玉"", 0.02783244661986828]]",25.530647
29,梅 花,梅花,宋,月地云阶暗断肠， 知心谁解赏孤芳？ 相逢只怪影亦好， 归去始惊身染香。 渡口耐寒,云、绿、寒、阶、江,云 绿 寒 阶 江 香 卿 黄 渡 乡,"[[""云"", 0.062151625752449036], [""绿"", 0.05830894038081169], [""寒"", 0.05597004294395447], [""阶"", 0.05076885223388672], [""江"", 0.046120576560497284], [""香"", 0.0418834425508976], [""卿"", 0.03952736407518387], [""黄"", 0.02798684872686863], [""渡"", 0.027464143931865692], [""乡"", 0.025510352104902267]]",25.50717
30,浣花赏梅,梅花,宋,老子人间自在身， 插梅不惜损乌巾。 春回积雪层冰里， 香动荒山野水滨。 带月一枝,山、枝、雪、滨、影,山 枝 雪 滨 影 石 乌 月 树 风,"[[""山"", 0.04984840750694275], [""枝"", 0.0467454269528389], [""雪"", 0.04628175124526024], [""滨"", 0.042902663350105286], [""影"", 0.039350900799036026], [""石"", 0.03684572875499725], [""乌"", 0.032763540744781494], [""月"", 0.03186708316206932], [""树"", 0.03183192014694214], [""风"", 0.031426090747117996]]",25.592623
31,山亭观梅,梅花,宋,与梅岁岁有幽期， 忘却如今两鬓丝。 乘淡月时和雪看， 斫苍苔地带花移。 先春瘦损,萼、苔、花、雪、红,萼 苔 花 雪 红 月 斫 鬓 香 梅,"[[""萼"", 0.11044938862323761], [""苔"", 0.05094977468252182], [""花"", 0.03522378206253052], [""雪"", 0.033868853002786636], [""红"", 0.03288773074746132], [""月"", 0.031549617648124695], [""斫"", 0.029094209894537926], [""鬓"", 0.025438126176595688], [""香"", 0.02474236860871315], [""梅"", 0.023317379876971245]]",25.58758
32,怀古堂前小梅渐开,梅花,宋,梅边春意未全回， 淡日微风暗里催。 近水数枝殊小在， 一梢双朵忽齐开。 生愁落去,云、江、园、齐、水,云 江 园 齐 水 寒 意 风 日 梅,"[[""云"", 0.06341852992773056], [""江"", 0.02754541113972664], [""园"", 0.027266664430499077], [""齐"", 0.026774263009428978], [""水"", 0.024576321244239807], [""寒"", 0.023729421198368073], [""意"", 0.02267112396657467], [""风"", 0.02008860930800438], [""日"", 0.01955556869506836], [""梅"", 0.018830619752407074]]",25.611418
33,梅花下小饮,梅花,宋,今年春在腊前回， 怪底空山早见梅。 数点有情吹面过， 一花无赖背人开。 为携竹叶,琼、山、明、人、花,琼 山 明 人 花 携 浇 兴 葩 叶,"[[""琼"", 0.028977559879422188], [""山"", 0.027057740837335587], [""明"", 0.024975763633847237], [""人"", 0.024262864142656326], [""花"", 0.023687783628702164], [""携"", 0.023508265614509583], [""浇"", 0.022602124139666557], [""兴"", 0.021418051794171333], [""葩"", 0.018944505602121353], [""叶"", 0.018133055418729782]]",25.515123
34,梅 花,梅花,宋,是谁曾种白玻璃， 绝寒荒一点奇。 不厌陇头千万树， 最怜窗下两三枝。 幽深真是离,寒、璃、月、枝、风,寒 璃 月 枝 风 玻 荒 鬓 影 岛,"[[""寒"", 0.0781034603714943], [""璃"", 0.0613795705139637], [""月"", 0.06037455052137375], [""枝"", 0.04729074239730835], [""风"", 0.0424497090280056], [""玻"", 0.03895951434969902], [""荒"", 0.037350695580244064], [""鬓"", 0.035265836864709854], [""影"", 0.030147342011332512], [""岛"", 0.029505515471100807]]",25.511366
35,落 梅,梅花,宋,昨夜尖风几阵寒， 心知清物久留难。 枝疏似被金刀剪， 片细疑经玉杵残。 痛叱山童,心、寒、苔、被、风,心 寒 苔 被 风 帚 月 清 树 刀,"[[""心"", 0.06601500511169434], [""寒"", 0.0502893328666687], [""苔"", 0.03632181137800217], [""被"", 0.03171437978744507], [""风"", 0.031281787902116776], [""帚"", 0.029102962464094162], [""月"", 0.023190103471279144], [""清"", 0.023151841014623642], [""树"", 0.02245382033288479], [""刀"", 0.022118180990219116]]",25.60523
36,渔舍观梅,梅花,宋,冷云漠漠护篱阴， 瀟洒苔枝出竹林。 影落寒矶和雪钓， 香浮老瓮带春斟。 几凭水驿,寒、竹、枝、苔、雪,寒 竹 枝 苔 雪 香 瓮 树 篱 水,"[[""寒"", 0.04953712970018387], [""竹"", 0.03937998041510582], [""枝"", 0.03823098912835121], [""苔"", 0.03469474986195564], [""雪"", 0.03460843861103058], [""香"", 0.03335920721292496], [""瓮"", 0.03048527240753174], [""树"", 0.02312644012272358], [""篱"", 0.022941954433918], [""水"", 0.022157980129122734]]",25.372194
37,梅 魂,梅花,元,枝南枝北路迢迢， 飞入孤山夜寂寥。 水月浮香应自返， 溪风弄影为谁招。 縞衣梦里,枝、香、山、愁、坟,枝 香 山 愁 坟 飞 影 溪 风 歌,"[[""枝"", 0.08633249998092651], [""香"", 0.0656275525689125], [""山"", 0.0499749630689621], [""愁"", 0.03653422370553017], [""坟"", 0.0319172739982605], [""飞"", 0.02849951758980751], [""影"", 0.02337852120399475], [""溪"", 0.019739845767617226], [""风"", 0.01922593265771866], [""歌"", 0.01841382123529911]]",25.531479
38,水中梅影,梅花,元,澄澄寒碧映冰条， 云母屏开见阿娇。 春色一枝流不去， 雪痕千点浸难消。 临风倚槛,屏、月、风、母、佩,屏 月 风 母 佩 冰 鬟 条 枝 云,"[[""屏"", 0.027556216344237328], [""月"", 0.027433617040514946], [""风"", 0.02699160948395729], [""母"", 0.02571875974535942], [""佩"", 0.025306731462478638], [""冰"", 0.024567242711782455], [""鬟"", 0.022638576105237007], [""条"", 0.021571815013885498], [""枝"", 0.021448418498039246], [""云"", 0.02099396474659443]]",25.495491
39,梅花九首(其一),梅花,明,琼姿只合在瑶台， 谁向江南处处栽？  雪满山中高士卧， 月明林下美人来。  寒依,春、苔、香、寒、风,春 苔 香 寒 风 山 江 竹 栽 月,"[[""春"", 0.05041532963514328], [""苔"", 0.039975520223379135], [""香"", 0.03807038813829422], [""寒"", 0.03476632386445999], [""风"", 0.034641873091459274], [""山"", 0.033140361309051514], [""江"", 0.030324198305606842], [""竹"", 0.030202778056263924], [""栽"", 0.029894905164837837], [""月"", 0.027137516066432]]",25.43807
40,梅花九首(其三),梅花,明,翠羽惊飞别树头， 冷香狼藉倩谁收？ 骑驴客醉风吹帽， 放鹤人归雪满舟。 淡月微云,飞、香、帽、云、风,飞 香 帽 云 风 雪 水 山 月 冷,"[[""飞"", 0.049777738749980927], [""香"", 0.04634498804807663], [""帽"", 0.04480859637260437], [""云"", 0.04195752367377281], [""风"", 0.03391366824507713], [""雪"", 0.033032119274139404], [""水"", 0.032610516995191574], [""山"", 0.03148425742983818], [""月"", 0.03060862421989441], [""冷"", 0.027403905987739563]]",25.453026
41,梅 涧,梅花,明,地僻沙寒水更清， 老梅偏向涧边横。 风吹落瓣仍低陨， 石压旁枝却倒生。 野鹤对人,山、清、涧、沙、鹤,山 清 涧 沙 鹤 春 梅 城 雪 光,"[[""山"", 0.0648423433303833], [""清"", 0.04275791719555855], [""涧"", 0.03639630228281021], [""沙"", 0.032614242285490036], [""鹤"", 0.02817532792687416], [""春"", 0.027062980458140373], [""梅"", 0.025538375601172447], [""城"", 0.023229248821735382], [""雪"", 0.02199537493288517], [""光"", 0.021110881119966507]]",25.498827
42,赠范蔚宗,梅花,南朝宋,折梅逢驿使， 寄与陇头人。 江南无所有， 聊贈一枝春。,江、春、梅、枝、陇,江 春 梅 枝 陇 寄 南 驿 折 头,"[[""江"", 0.10307561606168747], [""春"", 0.07675956934690475], [""梅"", 0.07460637390613556], [""枝"", 0.06946001946926117], [""陇"", 0.055292148143053055], [""寄"", 0.04548613727092743], [""南"", 0.03197822347283363], [""驿"", 0.021121220663189888], [""折"", 0.01944016106426716], [""头"", 0.018072696402668953]]",25.593185
43,咏 梅,梅花,南朝梁,梅含今春树， 还临先日池。 人怀前岁忆， 花发故年枝。,池、花、枝、树、含,池 花 枝 树 含 梅 故 怀 人 春,"[[""池"", 0.07311522960662842], [""花"", 0.06900008022785187], [""枝"", 0.05508378520607948], [""树"", 0.054051704704761505], [""含"", 0.04313981533050537], [""梅"", 0.041479650884866714], [""故"", 0.03671679645776749], [""怀"", 0.032021209597587585], [""人"", 0.03197001665830612], [""春"", 0.029456783086061478]]",25.548714
44,江滨梅,梅花,唐,忽见寒梅树， 开花汉水滨。,梅、花、寒、树、滨,梅 花 寒 树 滨 汉 水 见 开 忽,"[[""梅"", 0.1322091668844223], [""花"", 0.10566286742687225], [""寒"", 0.1030355840921402], [""树"", 0.0738120749592781], [""滨"", 0.05955905839800835], [""汉"", 0.046684589236974716], [""水"", 0.04270463064312935], [""见"", 0.03797731176018715], [""开"", 0.031984392553567886], [""忽"", 0.02918190136551857]]",25.451038
45,杂 诗（其二）,梅花,唐,君自故乡来， 应知故乡事。 来日绮窗前，·寒梅著花未？ ,乡、窗、寒、著、绮,乡 窗 寒 著 绮 梅 故 花 日 自,"[[""乡"", 0.09471677988767624], [""窗"", 0.07438889890909195], [""寒"", 0.06640981137752533], [""著"", 0.05695370212197304], [""绮"", 0.0514737144112587], [""梅"", 0.049217503517866135], [""故"", 0.038624100387096405], [""花"", 0.028306495398283005], [""日"", 0.025271229445934296], [""自"", 0.022937694564461708]]",25.497898
46,忆 梅,梅花,唐,定定住天涯， 依依向物华。 寒梅最堪恨， 长作去年花。,寒、物、梅、定、天,寒 物 梅 定 天 花 恨 涯 作 年,"[[""寒"", 0.10254427045583725], [""物"", 0.07181264460086823], [""梅"", 0.06608442217111588], [""定"", 0.05714184418320656], [""天"", 0.05196763947606087], [""花"", 0.041970353573560715], [""恨"", 0.04047103226184845], [""涯"", 0.03631235659122467], [""作"", 0.035095542669296265], [""年"", 0.0321156308054924]]",25.549522
47,梅 花,梅花,宋,墙角数枝梅， 凌寒独自开。 遥知不是雪， 为有暗香来。,墙、雪、梅、角、香,墙 雪 梅 角 香 凌 枝 寒 数 暗,"[[""墙"", 0.1167203038930893], [""雪"", 0.08991320431232452], [""梅"", 0.06959082186222076], [""角"", 0.06837893277406693], [""香"", 0.061744753271341324], [""凌"", 0.0611332468688488], [""枝"", 0.04218248277902603], [""寒"", 0.03911655768752098], [""数"", 0.030530491843819618], [""暗"", 0.02991596609354019]]",25.656624
48,梅 花,梅花,宋,客行满山雪， 香处是梅花。 丁宁明月夜， 记取影横斜。,山、雪、月、夜、梅,山 雪 月 夜 梅 明 影 花 香 横,"[[""山"", 0.25042450428009033], [""雪"", 0.13880449533462524], [""月"", 0.07328618317842484], [""夜"", 0.05333278328180313], [""梅"", 0.04902040958404541], [""明"", 0.039612192660570145], [""影"", 0.03563676029443741], [""花"", 0.034090880304574966], [""香"", 0.03360923379659653], [""横"", 0.026879319921135902]]",25.503271
49,梅 花,梅花,宋,山月皓中庭， 幽人酒初醒。 不是怯清寒， 愁踏梅花影。,庭、愁、花、皓、梅,庭 愁 花 皓 梅 寒 月 酒 影 人,"[[""庭"", 0.0818147212266922], [""愁"", 0.08143982291221619], [""花"", 0.07394856214523315], [""皓"", 0.07035903632640839], [""梅"", 0.06805248558521271], [""寒"", 0.06220462545752525], [""月"", 0.05723119527101517], [""酒"", 0.05440356209874153], [""影"", 0.04761218652129173], [""人"", 0.04064292088150978]]",25.454563
50,早 梅,梅花,宋,霜风殊未高， 杖策荒园里。 仙子别经年， 相看共惊喜。,霜、园、荒、看、惊,霜 园 荒 看 惊 风 仙 年 经 策,"[[""霜"", 0.13042010366916656], [""园"", 0.07267065346240997], [""荒"", 0.0658416897058487], [""看"", 0.05952555686235428], [""惊"", 0.04829644411802292], [""风"", 0.04411008581519127], [""仙"", 0.04293832555413246], [""年"", 0.038034629076719284], [""经"", 0.03470052778720856], [""策"", 0.033804234117269516]]",25.55916
51,寒 梅,梅花,宋,白玉堂前树， 风清月影残。 无情三弄笛， 遥夜不胜寒。,玉、寒、堂、夜、树,玉 寒 堂 夜 树 白 笛 月 风 影,"[[""玉"", 0.2483188956975937], [""寒"", 0.12414814531803131], [""堂"", 0.060287099331617355], [""夜"", 0.05322638899087906], [""树"", 0.05098037049174309], [""白"", 0.04983107000589371], [""笛"", 0.04982453212141991], [""月"", 0.04643354192376137], [""风"", 0.03501220420002937], [""影"", 0.03406856581568718]]",25.535093
