ID,诗名,作者,朝代,花名,月份,text,正文_preview,ccpoem_top5,ccpoem_top10,ccpoem_top10_with_score,ccpoem_cls_l2,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths,l1_polarity,l1_polarity_zh,l2_c2,l2_c2_zh,l3_c3,l3_c3_zh,prob_l1_negative,prob_l1_implicit_negative,prob_l1_neutral,prob_l1_implicit_positive,prob_l1_positive
165,同诸客携酒早看櫻桃花,白居易,唐,樱桃花,正月,"晓报樱桃发， 春携酒客过。
绿汤粘盏杓， 红雪压枝柯。
天色晴明少， 人生事故多。
停杯替花语， 不醉拟如何。
",晓报樱桃发， 春携酒客过。 绿汤粘盏杓， 红雪压枝柯。 天色晴明少， 人生事故多,雪、汤、柯、花、桃,雪 汤 柯 花 桃 杓 枝 粘 红 盏,"[[""雪"", 0.09887385368347168], [""汤"", 0.06907651573419571], [""柯"", 0.06357131153345108], [""花"", 0.0427170991897583], [""桃"", 0.03190344199538231], [""杓"", 0.0317220576107502], [""枝"", 0.029768910259008408], [""粘"", 0.023340707644820213], [""红"", 0.02251494862139225], [""盏"", 0.02209448628127575]]",25.544704,9,待月|春日书怀|果|樱桃|江楼晴望|花|萍|马乳|鼓,停杯|压枝|发春|天色|携酒|樱桃|生事|红雪|花,樱桃:1|鼓:1|春日书怀:1|马乳:1|果:1|江楼晴望:1|萍:1|待月:1|花:1,卷一/天文类/待月|?/春日书怀|卷四/百果类/果|卷四/百果类/樱桃|卷三/游眺类/江楼晴望|卷四/百花类/花|卷三/百草类/萍|卷三/饮食类/马乳|卷三/音乐类/鼓,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.02050428,0.1298048,0.14399265,0.61730903,0.088389315
166,二月十五日櫻桃花盛开,温庭筠,唐,樱桃花,正月,"晓觉笼烟重， 春深染雪轻。
静应留得蝶， 繁欲不胜莺。
影乱晨飙急， 香多夜雨晴。
似将千万恨， 西北为卿卿。
",晓觉笼烟重， 春深染雪轻。 静应留得蝶， 繁欲不胜莺。 影乱晨飙急， 香多夜雨晴,雨、烟、香、飙、春,雨 烟 香 飙 春 莺 雪 夜 影 蝶,"[[""雨"", 0.08342114090919495], [""烟"", 0.08320555090904236], [""香"", 0.05108972638845444], [""飙"", 0.04930110275745392], [""春"", 0.03626216575503349], [""莺"", 0.02765238843858242], [""雪"", 0.025851111859083176], [""夜"", 0.02405097894370556], [""影"", 0.01883118227124214], [""蝶"", 0.017888955771923065]]",25.575325,8,儒师|夜雨|杜鹃|水|莺|蔷薇|蝶|香,万恨|夜雨|春深|笼烟|莺|蝶|西北|香,蔷薇:1|水:1|夜雨:1|杜鹃:1|儒师:1|蝶:1|莺:1|香:1,卷二/师友类/儒师|卷一/天文类/夜雨|卷四/飞禽类/杜鹃|卷一/地舆类/水|卷四/飞禽类/莺|?/蔷薇|卷四/昆虫类/蝶|卷三/器用类下/香,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.01920305,0.49072826,0.30812114,0.17110647,0.010841077
167,和永叔同游上林院后亭见櫻桃花悉已披谢,梅尧臣,宋,樱桃花,正月,"去年君到见春迟， 今日寻芳是夙期。
只道朱櫻才弄蕊， 及来幽圃已残枝。
飘英尚有游蜂恋， 著子唯应谷鸟知。
把酒聊能慰余景， 乘欢不厌夕阳时。",去年君到见春迟， 今日寻芳是夙期。 只道朱櫻才弄蕊， 及来幽圃已残枝。 飘英尚有,尚、阳、聊、厌、谷,尚 阳 聊 厌 谷 应 有 圃 已 去,"[[""尚"", 0.024429693818092346], [""阳"", 0.024228183552622795], [""聊"", 0.02335517294704914], [""厌"", 0.0205925852060318], [""谷"", 0.02051052823662758], [""应"", 0.019183337688446045], [""有"", 0.018724605441093445], [""圃"", 0.018549982458353043], [""已"", 0.018047979101538658], [""去"", 0.018047209829092026]]",25.574768,6,喜雪|探春|日|春|春郊|秋兴,夕阳|寻芳|把酒|日|春|游蜂|飘英,喜雪:2|探春:1|春郊:1|秋兴:1|春:1|日:1,卷一/天文类/喜雪|卷一/时令类/探春|卷一/天文类/日|卷一/时令类/春|卷一/地舆类/春郊|卷一/时令类/秋兴,Implicit Negative,隐性消极,neg_anger,负向-愤懑,criticize,批判指责,0.07749283,0.39287198,0.19035065,0.297832,0.041452516
168,酬韩侍郎张博士雨后游曲江见寄,白居易,唐,樱桃花,正月,"小园新种红樱树， 闲绕花行便当游。
何必更随鞍马队， 冲泥蹋雨曲江头。
",小园新种红樱树， 闲绕花行便当游。 何必更随鞍马队， 冲泥蹋雨曲江头。 ,江、园、雨、小、樱,江 园 雨 小 樱 红 冲 马 泥 随,"[[""江"", 0.1406281441450119], [""园"", 0.0632936879992485], [""雨"", 0.05968882143497467], [""小"", 0.049107875674963], [""樱"", 0.04047992080450058], [""红"", 0.033913567662239075], [""冲"", 0.03370048478245735], [""马"", 0.03280502185225487], [""泥"", 0.03251181170344353], [""随"", 0.031720008701086044]]",25.543377,5,园|沙|花|送人从军|雨,园|江头|花|雨|鞍马,送人从军:1|沙:1|园:1|花:1|雨:1,卷一/地舆类/园|卷一/地舆类/沙|卷四/百花类/花|卷三/祖饯类/送人从军|卷一/天文类/雨,Neutral,中性,,,,,0.025814991,0.10758765,0.44341296,0.40041596,0.022768421
169,題东楼前李使君所种樱桃花,白居易,唐,樱桃花,正月,"身入青云无见日， 手栽红树又逢春。
惟留花向楼前看， 故故抛愁与后人。",身入青云无见日， 手栽红树又逢春。 惟留花向楼前看， 故故抛愁与后人。,愁、云、花、春、树,愁 云 花 春 树 看 楼 人 抛 故,"[[""愁"", 0.16722853481769562], [""云"", 0.0946795642375946], [""花"", 0.08772499114274979], [""春"", 0.04247400537133217], [""树"", 0.04212048277258873], [""看"", 0.03449126332998276], [""楼"", 0.03265628218650818], [""人"", 0.02888539992272854], [""抛"", 0.025847306475043297], [""故"", 0.02397114597260952]]",25.453163,6,日|春|楼|立春|花|荐举,日|春|栽红|楼|花|青云,荐举:1|立春:1|日:1|春:1|花:1|楼:1,卷一/天文类/日|卷一/时令类/春|卷二/宫室类/楼|卷一/节序类/立春|卷四/百花类/花|卷二/仕进类/荐举,Negative,消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.75881094,0.1978088,0.017747713,0.008418312,0.017214183
17,梅 花(其一),钱澄之,清,梅花,正月,"何处花先放？ 向南三两村。
未春天似梦， 彻夜月无言。
且喜昏鸦散， 毋嫌翠羽喧。
众芳久寂寞， 赖汝照乾坤。",何处花先放？ 向南三两村。 未春天似梦， 彻夜月无言。 且喜昏鸦散， 毋嫌翠羽喧,翠、花、羽、坤、村,翠 花 羽 坤 村 天 梦 众 寞 南,"[[""翠"", 0.06602852791547775], [""花"", 0.05275057256221771], [""羽"", 0.039080750197172165], [""坤"", 0.03582633286714554], [""村"", 0.030129367485642433], [""天"", 0.02787349931895733], [""梦"", 0.023699071258306503], [""众"", 0.021710006520152092], [""寞"", 0.021630126982927322], [""南"", 0.01952028088271618]]",25.453304,11,月|天|如昼|帐|慵粧|春|月夜访友|梦|江亭|花|鸦,乾坤|何处|天|寂寞|彻夜|无言|春|月|梦|翠羽|花|鸦,月:2|月夜访友:1|如昼:1|慵粧:1|帐:1|江亭:1|花:1|春:1|天:1|梦:1|鸦:1,卷一/天文类/月|卷一/天文类/天|?/如昼|卷三/服饰类/帐|卷二/丽人类/慵粧|卷一/时令类/春|卷二/师友类/月夜访友|卷二/人事类/梦|卷二/宫室类/江亭|卷四/百花类/花|卷四/飞禽类/鸦,Positive,积极,positive,积极,joy,欢乐喜悦,0.04276628,0.03993285,0.102311805,0.22471143,0.5902777
170,折枝花赠行,元稹,唐,樱桃花,正月,"樱桃花下送君时， 一寸春心逐折枝。
别后相思最多处， 千株万片绕林垂。",樱桃花下送君时， 一寸春心逐折枝。 别后相思最多处， 千株万片绕林垂。,心、林、桃、春、思,心 林 桃 春 思 万 垂 樱 枝 寸,"[[""心"", 0.10481850057840347], [""林"", 0.10006744414567947], [""桃"", 0.07618054002523422], [""春"", 0.06690692156553268], [""思"", 0.052570879459381104], [""万"", 0.0468117855489254], [""垂"", 0.04356048256158829], [""樱"", 0.040822453796863556], [""枝"", 0.030431369319558144], [""寸"", 0.029769662767648697]]",25.410408,6,怀友|春|梅溪|樱桃|海棠|采药,千株|折枝|春|樱桃|相思|花下,樱桃:1|海棠:1|采药:1|怀友:1|梅溪:1|春:1,卷二/师友类/怀友|卷一/时令类/春|卷一/地舆类/梅溪|卷四/百果类/樱桃|?/海棠|卷二/人品类/采药,Implicit Negative,隐性消极,neg_sorrow,负向-悲伤,miss,思念怀念,0.13431177,0.38715178,0.13740735,0.27256182,0.06856731
171,和裴仆射看櫻桃花,张籍,唐,樱桃花,正月,"昨日南园新雨后， 樱桃花发旧枝柯。
天明不待人同看， 绕树重重履迹多。
",昨日南园新雨后， 樱桃花发旧枝柯。 天明不待人同看， 绕树重重履迹多。 ,园、柯、雨、明、天,园 柯 雨 明 天 樱 枝 桃 日 重,"[[""园"", 0.12762558460235596], [""柯"", 0.07142399996519089], [""雨"", 0.06897382438182831], [""明"", 0.06345123052597046], [""天"", 0.053470809012651443], [""樱"", 0.03871794044971466], [""枝"", 0.03564752638339996], [""桃"", 0.03116358071565628], [""日"", 0.030699273571372032], [""重"", 0.03011159598827362]]",25.44031,7,园|日|楼子芍药|樱桃|残星|水声|花,园|天明|日|樱桃|花|重重|雨后,水声:1|樱桃:1|残星:1|楼子芍药:1|日:1|园:1|花:1,卷一/地舆类/园|卷一/天文类/日|卷四/百花类/楼子芍药|卷四/百果类/樱桃|卷一/天文类/残星|卷一/地舆类/水声|卷四/百花类/花,Neutral,中性,,,,,0.013312166,0.29393974,0.4021059,0.27527177,0.0153703885
172,山寺看櫻桃花題僧壁,刘言史,唐,樱桃花,正月,"楚寺春风腊尽时， 含桃先拆一千枝。
老僧不语傍边坐， 花发人来总不知。",楚寺春风腊尽时， 含桃先拆一千枝。 老僧不语傍边坐， 花发人来总不知。,花、语、桃、楚、僧,花 语 桃 楚 僧 傍 春 枝 人 边,"[[""花"", 0.06666549295186996], [""语"", 0.06477364152669907], [""桃"", 0.0626886859536171], [""楚"", 0.062424443662166595], [""僧"", 0.05840911343693733], [""傍"", 0.05204066261649132], [""春"", 0.04728182032704353], [""枝"", 0.04585191234946251], [""人"", 0.04047159478068352], [""边"", 0.03787833824753761]]",25.552961,6,僧|春风|未开牡丹|栗子|花|除日立春,不语|僧|千枝|春风|腊尽|花,春风:1|除日立春:1|栗子:1|未开牡丹:1|僧:1|花:1,卷二/释老类/僧|卷一/天文类/春风|卷四/百花类/未开牡丹|卷四/百果类/栗子|卷四/百花类/花|?/除日立春,Implicit Negative,隐性消极,neg_anger,负向-愤懑,criticize,批判指责,0.052241504,0.5170122,0.20959996,0.18325505,0.037891325
173,题樱桃,李群玉,唐,樱桃花,正月,"春初携酒此花间， 几度临风倒玉山。
今日叶深黄满树， 再来惆帐不能攀。",春初携酒此花间， 几度临风倒玉山。 今日叶深黄满树， 再来惆帐不能攀。,山、黄、帐、叶、玉,山 黄 帐 叶 玉 攀 春 风 花 树,"[[""山"", 0.12468434870243073], [""黄"", 0.09245290607213974], [""帐"", 0.0900731012225151], [""叶"", 0.08815053105354309], [""玉"", 0.07618499547243118], [""攀"", 0.0461561344563961], [""春"", 0.045169636607170105], [""风"", 0.043494801968336105], [""花"", 0.03840687870979309], [""树"", 0.030593371018767357]]",25.48575,11,元日|几|台|帐|日|春日书怀|果|槐花|潮|蛩|酒旗,不能|临风|几|帐|携酒|日|春初|深黄|满树|玉山|花间,元日:1|春日书怀:1|酒旗:1|台:1|潮:1|槐花:1|果:1|蛩:1|几:1|日:1|帐:1,?/元日|卷三/器用类上/几|卷二/宫室类/台|卷三/服饰类/帐|卷一/天文类/日|?/春日书怀|卷四/百果类/果|卷四/百花类/槐花|卷一/地舆类/潮|卷四/昆虫类/蛩|卷三/器用类上/酒旗,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.027695892,0.39891008,0.14320703,0.36483005,0.06535704
174,樱桃树,韦庄,唐,樱桃花,正月,"记得花开雪满枝， 和蜂和蝶带花移。
如今花落游蜂去， 空作主人惆帐诗。",记得花开雪满枝， 和蜂和蝶带花移。 如今花落游蜂去， 空作主人惆帐诗。,蜂、蝶、枝、落、帐,蜂 蝶 枝 落 帐 和 花 雪 主 人,"[[""蜂"", 0.1151915192604065], [""蝶"", 0.0976695716381073], [""枝"", 0.08595626056194305], [""落"", 0.05630689114332199], [""帐"", 0.04331532120704651], [""和"", 0.03694715350866318], [""花"", 0.0360434465110302], [""雪"", 0.034268252551555634], [""主"", 0.03337165713310242], [""人"", 0.03321606665849686]]",25.477497,9,帐|新蝉|春郊|残灯|清明|犬|蜂|蝶|诗,主人|帐|带花|游蜂|花开|花落|蜂|蝶|诗,残灯:1|新蝉:1|清明:1|春郊:1|犬:1|蜂:1|蝶:1|帐:1|诗:1,卷三/服饰类/帐|卷四/昆虫类/新蝉|卷一/地舆类/春郊|卷三/器用类下/残灯|卷一/节序类/清明|卷四/走兽类/犬|卷四/昆虫类/蜂|卷四/昆虫类/蝶|卷二/文学类/诗,Neutral,中性,,,,,0.009695655,0.2811688,0.43690675,0.25990093,0.012327869
175,买带花樱桃,吴融,唐,樱桃花,正月,"粉红轻浅倩妆新， 和露和烟别近邻。
万一有情兼有恨， 一年荣落两家春。",粉红轻浅倩妆新， 和露和烟别近邻。 万一有情兼有恨， 一年荣落两家春。,烟、春、露、邻、落,烟 春 露 邻 落 红 荣 家 粉 轻,"[[""烟"", 0.19261878728866577], [""春"", 0.0610547699034214], [""露"", 0.05869576334953308], [""邻"", 0.05318175256252289], [""落"", 0.049793120473623276], [""红"", 0.04034013673663139], [""荣"", 0.03687252104282379], [""家"", 0.034761711955070496], [""粉"", 0.03110005520284176], [""轻"", 0.030977098271250725]]",25.508863,6,怀归|慵粧|春|橙子|牡丹|餐笠,一年|和烟|和露|春|有恨|有情,橙子:1|餐笠:1|牡丹:1|慵粧:1|怀归:1|春:1,卷二/人事类/怀归|卷二/丽人类/慵粧|卷一/时令类/春|卷四/百果类/橙子|卷四/百花类/牡丹|?/餐笠,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.06087157,0.81940854,0.079114564,0.032695558,0.0079098465
176,樱桃花,范成大,宋,樱桃花,正月,"借暖冲寒不用媒， 匀朱匀粉最先来。
玉梅一见怜痴小， 教向旁边自在开。",借暖冲寒不用媒， 匀朱匀粉最先来。 玉梅一见怜痴小， 教向旁边自在开。,梅、玉、朱、痴、边,梅 玉 朱 痴 边 粉 寒 暖 匀 旁,"[[""梅"", 0.08248032629489899], [""玉"", 0.08090640604496002], [""朱"", 0.06667573750019073], [""痴"", 0.0535912811756134], [""边"", 0.05282708629965782], [""粉"", 0.048440128564834595], [""寒"", 0.04149062559008598], [""暖"", 0.03353108838200569], [""匀"", 0.03323119878768921], [""旁"", 0.03225298598408699]]",25.531858,1,玉,玉,玉:1,卷三/珍宝类/玉,Neutral,中性,,,,,0.009894952,0.08180835,0.4983045,0.39320466,0.01678753
177,樱桃花,方回,元,樱桃花,正月,"浅浅花开料峭风， 苦无妖色画难工。
十分不肯精神露， 留与他时著子红。",浅浅花开料峭风， 苦无妖色画难工。 十分不肯精神露， 留与他时著子红。,露、花、红、精、子,露 花 红 精 子 色 风 浅 工 神,"[[""露"", 0.09343850612640381], [""花"", 0.08255002647638321], [""红"", 0.06639645993709564], [""精"", 0.05180772766470909], [""子"", 0.039690352976322174], [""色"", 0.0382482074201107], [""风"", 0.034718967974185944], [""浅"", 0.032089103013277054], [""工"", 0.026558371260762215], [""神"", 0.026091570034623146]]",25.567383,5,残灯|画|竹溪|贺生子|风,浅浅|画|精神|花开|风,竹溪:1|残灯:1|贺生子:1|风:1|画:1,卷三/器用类下/残灯|卷三/书画类/画|卷一/地舆类/竹溪|卷三/庆吊类/贺生子|卷一/天文类/风,Implicit Negative,隐性消极,neg_anger,负向-愤懑,misgive,忧虑疑惑,0.1672439,0.35388592,0.19987786,0.19867742,0.08031494
178,红窗睡,陈维崧,清,樱桃花,正月,一树垂垂摇绣幌。光映得，小楼都绛。无风谁触花枝响？堕繁红两两。 细雨似闻莺细讲：香阶下，美人休折，让花全放。待他成颗，斗白家唇样。,一树垂垂摇绣幌。光映得，小楼都绛。无风谁触花枝响？堕繁红两两。 细雨似闻莺细讲：,幌、莺、响、香、雨,幌 莺 响 香 雨 阶 绛 绣 谁 唇,"[[""幌"", 0.05510488152503967], [""莺"", 0.049494724720716476], [""响"", 0.03963716700673103], [""香"", 0.03815236687660217], [""雨"", 0.037938620895147324], [""阶"", 0.03138117864727974], [""绛"", 0.023562058806419373], [""绣"", 0.02226920612156391], [""谁"", 0.02156861126422882], [""唇"", 0.019560690969228745]]",25.597179,11,剪刀|园亭|春郊|梨花|水阁|渔父|美人|花|莺|雪意|香,一树|光映|垂垂|小楼|无风|细雨|美人|花|花枝|莺|香,梨花:1|雪意:1|水阁:1|剪刀:1|园亭:1|春郊:1|渔父:1|美人:1|莺:1|香:1|花:1,卷三/器用类上/剪刀|卷二/宫室类/园亭|卷一/地舆类/春郊|卷四/百花类/梨花|卷二/宫室类/水阁|卷二/人品类/渔父|卷二/丽人类/美人|卷四/百花类/花|卷四/飞禽类/莺|卷一/天文类/雪意|卷三/器用类下/香,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.016690642,0.10674219,0.3245757,0.483297,0.06869451
179,折海棠戏赠圣俞,欧阳修,宋,海棠,二月,"摇摇墙头花， 笑笑弄颜色。
荒凉众草间， 露此红的蛛。
草木本无情， 及时如自得。
青春不可恃， 白日忽已昃。
绕之重吟哦， 归坐成叹息。
人生浪自苦， 得酒且开释。
不见宛陵翁， 作诗头早白。",摇摇墙头花， 笑笑弄颜色。 荒凉众草间， 露此红的蛛。 草木本无情， 及时如自得,陵、花、墙、露、摇,陵 花 墙 露 摇 笑 浪 哦 蛛 红,"[[""陵"", 0.05049638822674751], [""花"", 0.04269890859723091], [""墙"", 0.03367064148187637], [""露"", 0.027570217847824097], [""摇"", 0.022549860179424286], [""笑"", 0.018763842061161995], [""浪"", 0.01875172182917595], [""哦"", 0.018618060275912285], [""蛛"", 0.017785780131816864], [""红"", 0.01686183549463749]]",25.432589,12,不见|丽情|喜雪|夜宴|旱|春|江亭|花|草|迁居|遇雨|酒,不见|作诗|及时|吟哦|墙头|春|白日|花|草|草木|荒凉|酒,丽情:1|遇雨:1|迁居:1|喜雪:1|旱:1|江亭:1|不见:1|夜宴:1|花:1|草:1|春:1|酒:1,?/不见|卷二/丽人类/丽情|卷一/天文类/喜雪|卷二/人事类/夜宴|卷一/天文类/旱|卷一/时令类/春|卷二/宫室类/江亭|卷四/百花类/花|卷三/百草类/草|卷二/宫室类/迁居|?/遇雨|卷三/饮食类/酒,Implicit Positive,隐性积极,positive,积极,faith,坚定信念,0.012607684,0.046567928,0.17133698,0.66247153,0.10701583
18,梅 花(其二),钱澄之,清,梅花,正月,"离离压残雪， 脉脉照溪滨。
一任夜无月， 何妨天不春！
芳华凭俗赏， 风味与谁亲？
只觉闭门后， 徘徊似有人。",离离压残雪， 脉脉照溪滨。 一任夜无月， 何妨天不春！ 芳华凭俗赏， 风味与谁亲,溪、雪、天、门、风,溪 雪 天 门 风 华 脉 春 滨 离,"[[""溪"", 0.12930752336978912], [""雪"", 0.07825054973363876], [""天"", 0.04253040626645088], [""门"", 0.03872242942452431], [""风"", 0.03350876644253731], [""华"", 0.03153983876109123], [""脉"", 0.02760019339621067], [""春"", 0.027512289583683014], [""滨"", 0.02478109858930111], [""离"", 0.023864829912781715]]",25.507071,12,倦绣|冬雨|天|日影|春|月|溪|立春|蛩|裳|贫女|酌酒,似有|天|徘徊|春|月|残雪|溪|离离|脉脉|芳华|闭门|风味,日影:1|立春:1|冬雨:1|裳:1|酌酒:1|贫女:1|倦绣:1|蛩:1|溪:1|月:1|天:1|春:1,卷二/丽人类/倦绣|卷一/天文类/冬雨|卷一/天文类/天|卷一/天文类/日影|卷一/时令类/春|卷一/天文类/月|卷一/地舆类/溪|卷一/节序类/立春|卷四/昆虫类/蛩|卷三/服饰类/裳|卷二/丽人类/贫女|卷三/饮食类/酌酒,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.03972182,0.55236584,0.1558328,0.16086562,0.09121396
180,张园观海棠,陆游,宋,海棠,二月,"朝阳照城楼， 春容极明媚。
走马蜀锦园， 名花动人意。
严妆汉宫晓， 一笑初破睡。
定知夜宴欢， 酒入妖骨醉。
低鬟羞不语， 困顿娇欲闭。
虽艳无俗姿， 太息真富贵。
结束吾方归， 此别知几岁？黄昏廉纤雨， 千点浥红泪。",朝阳照城楼， 春容极明媚。 走马蜀锦园， 名花动人意。 严妆汉宫晓， 一笑初破睡,花、泪、阳、城、方,花 泪 阳 城 方 名 园 雨 廉 锦,"[[""花"", 0.07392631471157074], [""泪"", 0.04633746296167374], [""阳"", 0.033704694360494614], [""城"", 0.032284390181303024], [""方"", 0.03034505993127823], [""名"", 0.024776918813586235], [""园"", 0.024156570434570312], [""雨"", 0.021587569266557693], [""廉"", 0.02116493135690689], [""锦"", 0.020706675946712494]]",25.571266,18,喜雪|园|园亭|城|带|斑竹|春日|未开牡丹|楼|江湖|知几|美人|花|走马|酒|钟|雨|鹤,一笑|不语|千点|名花|园|城|富贵|明媚|春容|楼|知几|知夜|红泪|蜀锦|走马|酒|雨|黄昏,钟:1|春日:1|走马:1|带:1|园亭:1|美人:1|鹤:1|未开牡丹:1|花:1|知几:1|江湖:1|喜雪:1|斑竹:1|城:1|楼:1|园:1|酒:1|雨:1,卷一/天文类/喜雪|卷一/地舆类/园|卷二/宫室类/园亭|卷二/宫室类/城|卷三/服饰类/带|卷四/竹木类/斑竹|?/春日|卷四/百花类/未开牡丹|卷二/宫室类/楼|?/江湖|卷二/志气类/知几|卷二/丽人类/美人|卷四/百花类/花|卷四/走兽类/走马|卷三/饮食类/酒|卷三/音乐类/钟|卷一/天文类/雨|卷四/飞禽类/鹤,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.1394405,0.6431713,0.11285858,0.074587725,0.029941851
181,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,苏轼,宋,海棠,二月,"江城地瘴蕃草木， 只有名花苦幽独。
嫣然一笑竹篱间， 桃李漫山总粗俗。
也知造物有深意， 故遺佳人在空谷。
自然富贵出天姿， 不待金盘荐华屋。
朱唇得酒晕生脸， 翠袖卷纱红映肉。
林深雾暗晓光迟， 日暖风轻春睡足。
雨中有泪亦凄枪， 月下无人更清淑。
先生食饱无一事，：散步逍遥自扪腹。
不问人家与僧舍， 拄杖敲门看修竹。
忽逢绝艳照衰朽， 叹息无言揩病目。
陋邦何处得此花， 无乃好事移西蜀？寸根千里不易致， 衔子飞来定鸿鹄。
天涯流落俱可念， 为饮一樽歌此曲。
明朝酒醒还独来， 雪落纷纷那忍触。",江城地瘴蕃草木， 只有名花苦幽独。 嫣然一笑竹篱间， 桃李漫山总粗俗。 也知造物,翠、泪、城、盘、李,翠 泪 城 盘 李 江 晕 花 门 林,"[[""翠"", 0.03938740864396095], [""泪"", 0.03437327593564987], [""城"", 0.02924608252942562], [""盘"", 0.02071772888302803], [""李"", 0.01729336567223072], [""江"", 0.016942521557211876], [""晕"", 0.015892473980784416], [""花"", 0.012801251374185085], [""门"", 0.012726062908768654], [""林"", 0.01225410494953394]]",25.599285,36,美人|花|上元|人品类|园亭|地|寒食雨|山|帷幙|慵粧|旅舍|日|旱|春晓|春雨|月|月夜访友|村居|松径|橘|江城|海棠花|牧童|病|祥云|秋兴|虹|贺生女|迁居|送道士|郊居|酒|酒楼|雨|雾|飘,一樽|一笑|何处|佳人|修竹|僧舍|出天|千里|华屋|名花|地|天涯|富贵|山|散步|无言|春睡|晓光|暖风|月下|有泪|朱唇|林深|桃李|江城|病|竹篱|纷纷|翠袖|花|草木|迟日|逍遥|酒|酒醒|金盘|雨|雾,美人:2|花:2|江城:1|迁居:1|园亭:1|村居:1|寒食雨:1|帷幙:1|日:1|橘:1|贺生女:1|上元:1|郊居:1|虹:1|旱:1|春晓:1|海棠花:1|春雨:1|牧童:1|松径:1|送道士:1|飘:1|秋兴:1|慵粧:1|月夜访友:1|月:1|旅舍:1|酒楼:1|人品类:1|祥云:1|地:1|山:1|酒:1|雾:1|雨:1|病:1,卷二/丽人类/美人|卷四/百花类/花|卷一/节序类/上元|?/人品类|卷二/宫室类/园亭|卷一/地舆类/地|卷一/节序类/寒食雨|卷一/地舆类/山|卷三/服饰类/帷幙|卷二/丽人类/慵粧|卷二/宫室类/旅舍|卷一/天文类/日|卷一/天文类/旱|卷一/时令类/春晓|卷一/天文类/春雨|卷一/天文类/月|卷二/师友类/月夜访友|卷二/宫室类/村居|?/松径|?/橘|卷二/宫室类/江城|卷四/百花类/海棠花|卷二/人品类/牧童|?/病|卷一/天文类/祥云|卷一/时令类/秋兴|卷一/天文类/虹|卷三/庆吊类/贺生女|卷二/宫室类/迁居|卷二/释老类/送道士|卷二/宫室类/郊居|卷三/饮食类/酒|卷二/宫室类/酒楼|卷一/天文类/雨|卷一/天文类/雾|?/飘,Implicit Negative,隐性消极,neg_anger,负向-愤懑,criticize,批判指责,0.024995038,0.5258171,0.27613923,0.16265133,0.01039731
182,张园海棠,陆游,宋,海棠,二月,"洛阳春信久不通， 姚魏开落尘沙中。
扬州千叶昔曾见， 已叹造化无余功。
、西来始见海棠盛， 成都第一推燕宫。
池台扫除凡木尽， 天地眩转花光红。
庆云堕空不飞去， 时有绛雪萦微风。
蜂蝶成团无出路， 我亦狂走迷西东。
此园低树犹三丈， 锦绣却在青天上。
不须更著刀尺裁， 乞与齐奴开步障。",洛阳春信久不通， 姚魏开落尘沙中。 扬州千叶昔曾见， 已叹造化无余功。 、西来始,池、棠、沙、云、蜂,池 棠 沙 云 蜂 飞 台 州 叶 园,"[[""池"", 0.029246261343359947], [""棠"", 0.02413678914308548], [""沙"", 0.021997306495904922], [""云"", 0.021356338635087013], [""蜂"", 0.02081325091421604], [""飞"", 0.019502708688378334], [""台"", 0.018664725124835968], [""州"", 0.017949167639017105], [""叶"", 0.017877832055091858], [""园"", 0.015597480349242687]]",25.567228,25,丽春花|人材|关隘|台|园|天|寻访|尘|庆云|春色|木|桃花|梅溪|橘|池|沙|海棠|游春|潮|燕|画|立冬|霞|风|鸽,千叶|台|园|天|天地|尘|庆云|扬州|春信|木|步障|池|沙|洛阳|海棠|燕|第一|绛雪|花光|蜂蝶|西东|造化|锦绣|风|飞去,桃花:1|立冬:1|橘:1|丽春花:1|画:1|海棠:1|人材:1|潮:1|春色:1|庆云:1|鸽:1|梅溪:1|寻访:1|关隘:1|霞:1|游春:1|尘:1|沙:1|燕:1|池:1|台:1|木:1|风:1|园:1|天:1,卷四/百花类/丽春花|卷二/人品类/人材|卷一/地舆类/关隘|卷二/宫室类/台|卷一/地舆类/园|卷一/天文类/天|卷三/游眺类/寻访|卷一/地舆类/尘|卷一/天文类/庆云|卷一/时令类/春色|卷四/竹木类/木|卷四/百花类/桃花|卷一/地舆类/梅溪|?/橘|卷一/地舆类/池|卷一/地舆类/沙|?/海棠|卷一/时令类/游春|卷一/地舆类/潮|卷四/飞禽类/燕|卷三/书画类/画|卷一/节序类/立冬|卷一/天文类/霞|卷一/天文类/风|卷四/飞禽类/鸽,Neutral,中性,,,,,0.0143232085,0.20881258,0.57332355,0.19012594,0.01341464
