ID,sample_id,花名,月份,朝代,作者,诗名,snow_polarity_analysis,snow_polarity_poem,snow_polarity_combined,snow_sentiment_analysis,dominant_emotion_analysis,dominant_emotion_poem,dominant_emotion_combined,dominant_score_analysis,emo_joy,emo_sorrow,emo_longing,emo_bold,emo_elegant,emo_serene,emo_resentment,emo_anxiety,emotion_vec_analysis,emotion_vec_poem,emotion_vec_combined
155,11,虞美人,正月,宋,吴文英,贺新郎,1.0,0.9957,1.0,positive,bold,bold,bold,0.016,0.0,0.0,0.0,0.015957,0.0,0.007979,0.003989,0.005319,"{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.015957, ""elegant"": 0.0, ""serene"": 0.007979, ""resentment"": 0.003989, ""anxiety"": 0.005319, ""dominant_emotion"": ""bold"", ""dominant_score"": 0.016}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.032432, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""bold"", ""dominant_score"": 0.0324}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.017433, ""elegant"": 0.0, ""serene"": 0.007264, ""resentment"": 0.003632, ""anxiety"": 0.004843, ""dominant_emotion"": ""bold"", ""dominant_score"": 0.0174}"
355,12,棠梨花,正月,清,杜文澜,东风第一枝,1.0,1.0,1.0,positive,serene,joy,serene,0.005,0.00199,0.002985,0.003731,0.0,0.002985,0.004975,0.0,0.00199,"{""joy"": 0.00199, ""sorrow"": 0.002985, ""longing"": 0.003731, ""bold"": 0.0, ""elegant"": 0.002985, ""serene"": 0.004975, ""resentment"": 0.0, ""anxiety"": 0.00199, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.005}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.001856, ""sorrow"": 0.002784, ""longing"": 0.00348, ""bold"": 0.0, ""elegant"": 0.002784, ""serene"": 0.00464, ""resentment"": 0.0, ""anxiety"": 0.001856, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0046}"
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,1.0,0.4142,1.0,positive,elegant,joy,elegant,0.0079,0.004405,0.0,0.0,0.0,0.00793,0.0,0.004405,0.003524,"{""joy"": 0.004405, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.00793, ""serene"": 0.0, ""resentment"": 0.004405, ""anxiety"": 0.003524, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0079}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.004219, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.007595, ""serene"": 0.0, ""resentment"": 0.004219, ""anxiety"": 0.003376, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0076}"
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,1.0,1.0,1.0,positive,resentment,joy,resentment,0.0153,0.004082,0.0,0.0,0.008163,0.0,0.0,0.015306,0.0,"{""joy"": 0.004082, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.008163, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.015306, ""anxiety"": 0.0, ""dominant_emotion"": ""resentment"", ""dominant_score"": 0.0153}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.003785, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.007571, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.014196, ""anxiety"": 0.0, ""dominant_emotion"": ""resentment"", ""dominant_score"": 0.0142}"
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,1.0,1.0,1.0,positive,serene,anxiety,serene,0.0092,0.0,0.004587,0.0,0.0,0.003058,0.009174,0.0,0.002446,"{""joy"": 0.0, ""sorrow"": 0.004587, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.003058, ""serene"": 0.009174, ""resentment"": 0.0, ""anxiety"": 0.002446, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0092}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.03871, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0387}","{""joy"": 0.0, ""sorrow"": 0.00419, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.002793, ""serene"": 0.00838, ""resentment"": 0.0, ""anxiety"": 0.005587, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0084}"
7,16,梅花,正月,宋,苏轼,再用前韵,1.0,1.0,1.0,positive,serene,joy,serene,0.0069,0.001404,0.0,0.0,0.001124,0.00618,0.006882,0.0,0.002107,"{""joy"": 0.001404, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.001124, ""elegant"": 0.00618, ""serene"": 0.006882, ""resentment"": 0.0, ""anxiety"": 0.002107, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0069}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.001342, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.001074, ""elegant"": 0.005906, ""serene"": 0.006577, ""resentment"": 0.0, ""anxiety"": 0.002013, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0066}"
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,1.0,0.9058,1.0,positive,longing,sorrow,longing,0.0245,0.0,0.013896,0.024523,0.0,0.0,0.0,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.013896, ""longing"": 0.024523, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0245}","{""joy"": 0.0, ""sorrow"": 0.2, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.2}","{""joy"": 0.0, ""sorrow"": 0.018351, ""longing"": 0.023936, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0239}"
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,1.0,1.0,1.0,positive,anxiety,joy,anxiety,0.0104,0.006957,0.0,0.006522,0.007826,0.0,0.0,0.0,0.010435,"{""joy"": 0.006957, ""sorrow"": 0.0, ""longing"": 0.006522, ""bold"": 0.007826, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.010435, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0104}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.006275, ""sorrow"": 0.0, ""longing"": 0.005882, ""bold"": 0.007059, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.009412, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0094}"
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,1.0,0.8738,1.0,positive,anxiety,anxiety,anxiety,0.0244,0.0,0.0,0.0,0.0,0.007438,0.002893,0.0,0.02438,"{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.007438, ""serene"": 0.002893, ""resentment"": 0.0, ""anxiety"": 0.02438, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0244}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.057143, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0571}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.006844, ""serene"": 0.002662, ""resentment"": 0.0, ""anxiety"": 0.026996, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.027}"
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,1.0,1.0,1.0,positive,sorrow,joy,sorrow,0.0139,0.005864,0.013889,0.0,0.0,0.0,0.006173,0.013889,0.0,"{""joy"": 0.005864, ""sorrow"": 0.013889, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.006173, ""resentment"": 0.013889, ""anxiety"": 0.0, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.0139}","{""joy"": 0.020339, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.016949, ""resentment"": 0.0, ""anxiety"": 0.020339, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0203}","{""joy"": 0.008094, ""sorrow"": 0.011749, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.007833, ""resentment"": 0.011749, ""anxiety"": 0.003133, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.0117}"
182,21,樱桃花,二月,宋,陆游,张园海棠,1.0,1.0,1.0,positive,bold,serene,bold,0.012,0.002954,0.006204,0.001477,0.011965,0.0,0.002511,0.001773,0.003545,"{""joy"": 0.002954, ""sorrow"": 0.006204, ""longing"": 0.001477, ""bold"": 0.011965, ""elegant"": 0.0, ""serene"": 0.002511, ""resentment"": 0.001773, ""anxiety"": 0.003545, ""dominant_emotion"": ""bold"", ""dominant_score"": 0.012}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.021875, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0219}","{""joy"": 0.002821, ""sorrow"": 0.005924, ""longing"": 0.00141, ""bold"": 0.011425, ""elegant"": 0.0, ""serene"": 0.003385, ""resentment"": 0.001693, ""anxiety"": 0.003385, ""dominant_emotion"": ""bold"", ""dominant_score"": 0.0114}"
183,22,樱桃花,二月,宋,陆游,海棠歌,1.0,0.9555,1.0,positive,longing,joy,longing,0.0079,0.002632,0.004211,0.007895,0.005263,0.0,0.001754,0.002632,0.002807,"{""joy"": 0.002632, ""sorrow"": 0.004211, ""longing"": 0.007895, ""bold"": 0.005263, ""elegant"": 0.0, ""serene"": 0.001754, ""resentment"": 0.002632, ""anxiety"": 0.002807, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0079}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.002521, ""sorrow"": 0.004034, ""longing"": 0.007563, ""bold"": 0.005042, ""elegant"": 0.0, ""serene"": 0.001681, ""resentment"": 0.002521, ""anxiety"": 0.002689, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0076}"
185,23,樱桃花,二月,宋,郭稹,海 棠,1.0,1.0,1.0,positive,joy,joy,joy,0.005,0.005021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""joy"": 0.005021, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.005}","{""joy"": 0.018519, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0185}","{""joy"": 0.007509, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0075}"
187,24,樱桃花,二月,宋,刘子,海棠,1.0,0.9984,1.0,positive,joy,joy,joy,0.0114,0.011351,0.0,0.0,0.0,0.004865,0.005946,0.0,0.0,"{""joy"": 0.011351, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.004865, ""serene"": 0.005946, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0114}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.010825, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.004639, ""serene"": 0.00567, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0108}"
211,25,樱桃花,二月,金,蔡松年,黄海棠,1.0,0.8851,1.0,positive,longing,joy,longing,0.0227,0.0,0.0,0.022689,0.0,0.0,0.0,0.0,0.007563,"{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.022689, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.007563, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0227}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.022041, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.007347, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.022}"
218,26,樱桃花,二月,宋,李清照,如梦令,1.0,0.1968,1.0,positive,serene,joy,serene,0.0137,0.0,0.009836,0.0,0.0,0.0,0.013661,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.009836, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.013661, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0137}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.0096, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.013333, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0133}"
224,27,樱桃花,二月,宋,吴文英,宴清都,1.0,0.6613,1.0,positive,joy,joy,joy,0.0034,0.003425,0.0,0.0,0.0,0.0,0.003425,0.0,0.0,"{""joy"": 0.003425, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.003425, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0034}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.003115, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.003115, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0031}"
