ID,sample_id,花名,月份,朝代,作者,诗名,occasion,occasion_cn,occasion_conf,occasion_all,occasion_hits,relation,relation_cn,relation_conf,relation_all,symbolism,symbolism_preview,overall_conf,is_high_conf,needs_review
329,56,月季,四月,宋,杨万里,腊前月季,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
327,57,玉兰,四月,清,陈维崧,东风第一枝,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
321,58,李花,四月,元,郑韶,梨 花,farewell,送别,0.9,"[""farewell"", ""self_expression""]","[[""别离"", ""分别""], [""寄托""]]",lover,爱人,0.82,"[""lover"", ""family""]",[],,0.86,True,False
228,59,桃花,四月,明,赵福元,桃 花,wedding,婚嫁,0.88,"[""wedding""]","[[""鸳鸯""]]",lover,爱人,0.82,"[""lover""]","[""爱情"", ""美人"", ""春天"", ""桃源""]",爱情、美人、春天,0.85,True,False
291,60,杏花,四月,明,陈子龙,画堂春,,,0.0,[],[],,,0.0,[],"[""春天"", ""喜悦"", ""美好""]",春天、喜悦、美好,0.0,False,True
259,61,桃花,四月,宋,贺铸,定风波,memorial,悼念,0.92,"[""memorial"", ""wedding""]","[[""清明""], [""嫁""]]",family,家人,0.85,"[""family"", ""lover""]","[""爱情"", ""美人"", ""春天"", ""桃源""]",爱情、美人、春天,0.885,True,False
260,62,桃花,四月,宋,王沂孙,露 华,farewell,送别,0.9,"[""farewell"", ""homesick""]","[[""送别"", ""赠别"", ""离别""], [""漂泊""]]",lover,爱人,0.82,"[""lover""]","[""爱情"", ""美人"", ""春天"", ""桃源""]",爱情、美人、春天,0.86,True,False
266,63,杏花,四月,宋,王安石,杏‘ 花,farewell,送别,0.9,"[""farewell"", ""memorial""]","[[""送别""], [""清明""]]",friend,友人,0.85,"[""friend""]","[""春天"", ""喜悦"", ""美好""]",春天、喜悦、美好,0.875,True,False
255,64,桃花,四月,明,陈宪章,潘岳爱桃,memorial,悼念,0.92,"[""memorial"", ""self_expression""]","[[""悼念"", ""悼亡""], [""寄托""]]",family,家人,0.85,"[""family"", ""friend""]","[""爱情"", ""美人"", ""春天"", ""桃源""]",爱情、美人、春天,0.885,True,False
268,65,杏花,四月,唐,韩愈,杏 花,farewell,送别,0.9,"[""farewell"", ""promotion""]","[[""分别""], [""仕途""]]",family,家人,0.85,"[""family""]","[""春天"", ""喜悦"", ""美好""]",春天、喜悦、美好,0.875,True,False
286,66,杏花,四月,宋,叶绍翁,游园不值,,,0.0,[],[],,,0.0,[],"[""春天"", ""喜悦"", ""美好""]",春天、喜悦、美好,0.0,False,True
542,67,芍药,四月,宋,韩元吉,浪淘沙,homesick,思乡怀人,0.765,"[""homesick"", ""departure"", ""self_expression""]","[[""故乡""], [""出使""]]",,,0.0,[],"[""离别"", ""爱情"", ""送别"", ""芳华""]",离别、爱情、送别,0.765,True,False
543,68,芍药,四月,宋,卢祖皋,水龙吟,farewell,送别,0.9,"[""farewell""]","[[""临别""]]",lover,爱人,0.82,"[""lover""]","[""离别"", ""爱情"", ""送别"", ""芳华""]",离别、爱情、送别,0.86,True,False
544,69,芍药,四月,宋,晁补之,望海潮,departure,赴任出行,0.783,"[""departure""]","[[""上任""]]",,,0.0,[],"[""离别"", ""爱情"", ""送别"", ""芳华""]",离别、爱情、送别,0.783,True,False
559,70,杜鹃,四月,宋,辛弃疾,定风波,self_expression,托物言志,0.78,"[""self_expression"", ""retirement""]","[[""自比"", ""自喻"", ""寄托""], [""隐居""]]",friend,友人,0.85,"[""friend"", ""self"", ""family""]",[],,0.815,True,False
564,71,虞美人,四月,宋,姜夔,赋虞美人草,self_expression,托物言志,0.585,"[""self_expression""]","[[""寄托""]]",lover,爱人,0.82,"[""lover"", ""family""]",[],,0.702,True,False
569,72,虞美人,四月,清,许氏,虞美人,memorial,悼念,0.92,"[""memorial"", ""self_expression""]","[[""哀思""], [""寄托""]]",family,家人,0.85,"[""family""]",[],,0.885,True,False
610,73,石竹,五月,宋,张耒,石竹花,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
600,74,榴花,五月,宋,欧阳修,西园石榴开,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,,,0.0,[],[],lover,爱人,0.82,"[""lover""]",[],,0.82,True,False
596,76,榴花,五月,宋,苏辙,赋园中所有,getwell,祝愿康复,0.747,"[""getwell""]","[[""沉疴""]]",family,家人,0.85,"[""family"", ""lover""]",[],,0.798,True,False
597,77,榴花,五月,明,吴宽,榴 花,self_expression,托物言志,0.78,"[""self_expression""]","[[""托物言志"", ""言志""]]",,,0.0,[],[],,0.78,True,False
608,78,榴花,五月,宋,苏轼,贺新郎,self_expression,托物言志,0.78,"[""self_expression"", ""promotion""]","[[""自喻"", ""寄托""], [""仕途""]]",teacher,师长,0.87,"[""teacher""]",[],,0.825,True,False
598,79,榴花,五月,金,元格,榴 花,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
615,80,栀子花,五月,宋,朱淑真,栀 子,promotion,升职祝贺,0.765,"[""promotion"", ""homesick"", ""retirement""]","[[""进士""], [""归乡""]]",family,家人,0.85,"[""family"", ""lover""]",[],,0.807,True,False
599,81,榴花,五月,唐,温庭筠,海 榴,farewell,送别,0.9,"[""farewell"", ""self_expression""]","[[""别离""], [""寄托""]]",,,0.0,[],[],,0.9,True,False
614,82,栀子花,五月,唐,王建,雨过山村,retirement,归隐,0.765,"[""retirement""]","[[""山居""]]",family,家人,0.85,"[""family""]",[],,0.807,True,False
601,83,榴花,五月,宋,朱熹,榴 花,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
603,84,榴花,五月,唐,韩愈,榴 花,homesick,思乡怀人,0.765,"[""homesick""]","[[""漂泊""]]",friend,友人,0.85,"[""friend""]",[],,0.807,True,False
607,85,榴花,五月,宋,王沂孙,庆清朝,self_expression,托物言志,0.78,"[""self_expression""]","[[""自喻"", ""寄托""]]",family,家人,0.85,"[""family""]",[],,0.815,True,False
612,86,石竹,五月,元,蒲道源,赋石竹,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
609,87,石竹,五月,唐,王绩,石竹咏,self_expression,托物言志,0.585,"[""self_expression""]","[[""言志""]]",teacher,师长,0.87,"[""teacher"", ""family""]",[],,0.728,True,False
611,88,石竹,五月,宋,王安石,石竹花,self_expression,托物言志,0.78,"[""self_expression""]","[[""自况"", ""抒怀""]]",self,自赠/自述,0.88,"[""self""]",[],,0.83,True,False
872,89,菊花,六月,唐,黄巢,题菊花,,,0.0,[],[],,,0.0,[],"[""隐逸"", ""清雅"", ""傲霜"", ""高洁""]",隐逸、清雅、傲霜,0.0,False,True
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,promotion,升职祝贺,0.765,"[""promotion"", ""retirement""]","[[""科举""], [""归隐""]]",family,家人,0.85,"[""family"", ""teacher"", ""lover""]","[""高洁"", ""美丽"", ""秋天""]",高洁、美丽、秋天,0.807,True,False
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,wedding,婚嫁,0.88,"[""wedding""]","[[""鸳鸯""]]",lover,爱人,0.82,"[""lover""]","[""高洁"", ""纯洁"", ""出淤泥而不染"", ""清廉""]",高洁、纯洁、出淤泥而不染,0.85,True,False
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,self_expression,托物言志,0.585,"[""self_expression""]","[[""自喻""]]",teacher,师长,0.87,"[""teacher"", ""family"", ""lover""]",[],,0.728,True,False
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,self_expression,托物言志,0.585,"[""self_expression""]","[[""自喻""]]",family,家人,0.85,"[""family"", ""friend"", ""lover""]","[""高洁"", ""纯洁"", ""出淤泥而不染"", ""清廉""]",高洁、纯洁、出淤泥而不染,0.718,True,False
638,94,荷花,六月,唐,王勃,采莲曲,,,0.0,[],[],lover,爱人,0.82,"[""lover"", ""family""]","[""高洁"", ""纯洁"", ""出淤泥而不染"", ""清廉""]",高洁、纯洁、出淤泥而不染,0.82,True,False
696,95,木芙蓉,六月,明,王夫之,玉楼春,retirement,归隐,0.85,"[""retirement"", ""self_expression"", ""wedding""]","[[""归隐"", ""隐居""], [""自喻"", ""寄托""]]",family,家人,0.85,"[""family"", ""lover""]","[""高洁"", ""美丽"", ""秋天""]",高洁、美丽、秋天,0.85,True,False
637,96,荷花,六月,清,胡天游,观鑫,retirement,归隐,0.765,"[""retirement""]","[[""归隐""]]",teacher,师长,0.87,"[""teacher""]","[""高洁"", ""纯洁"", ""出淤泥而不染"", ""清廉""]",高洁、纯洁、出淤泥而不染,0.818,True,False
636,97,荷花,六月,金,萧贡古,采莲曲,memorial,悼念,0.92,"[""memorial"", ""wedding""]","[[""清明""], [""鸳鸯""]]",lover,爱人,0.82,"[""lover"", ""teacher""]","[""高洁"", ""纯洁"", ""出淤泥而不染"", ""清廉""]",高洁、纯洁、出淤泥而不染,0.87,True,False
699,98,虞美人,六月,宋,贺铸,踏莎行,wedding,婚嫁,0.88,"[""wedding"", ""promotion"", ""self_expression""]","[[""鸳鸯"", ""嫁""], [""进士"", ""仕途""]]",friend,友人,0.85,"[""friend"", ""lover"", ""self""]",[],,0.865,True,False
701,99,虞美人,六月,宋,姜夔,惜红衣,,,0.0,[],[],friend,友人,0.85,"[""friend""]",[],,0.85,True,False
702,100,虞美人,六月,宋,康与之,洞仙歌令,farewell,送别,0.9,"[""farewell"", ""wedding""]","[[""惜别"", ""依依惜别""], [""嫁""]]",family,家人,0.85,"[""family""]",[],,0.875,True,False
703,101,虞美人,六月,宋,王沂孙,水龙吟,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
706,102,虞美人,六月,金,元好问,迈陂塘,self_expression,托物言志,0.585,"[""self_expression""]","[[""寄托""]]",lover,爱人,0.82,"[""lover""]",[],,0.702,True,False
707,103,虞美人,六月,元,李冶,迈陂塘,wedding,婚嫁,0.88,"[""wedding""]","[[""鸳鸯""]]",lover,爱人,0.82,"[""lover""]",[],,0.85,True,False
708,104,虞美人,六月,宋,姜夔,念奴娇,farewell,送别,0.9,"[""farewell"", ""wedding"", ""homesick""]","[[""送别""], [""鸳鸯""]]",lover,爱人,0.82,"[""lover""]",[],,0.86,True,False
759,105,秋海棠,七月,清,高士奇,南柯子,,,0.0,[],[],lover,爱人,0.82,"[""lover""]",[],,0.82,True,False
756,106,秋海棠,七月,清,朱受新,白秋海棠,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
749,107,木槿,七月,唐,杨凌,咏槿花,farewell,送别,0.9,"[""farewell""]","[[""分别""]]",family,家人,0.85,"[""family""]",[],,0.875,True,False
782,108,芦花,七月,金,吴激,同儿曹赋芦花,homesick,思乡怀人,0.85,"[""homesick""]","[[""思乡"", ""游子"", ""异乡""]]",,,0.0,[],[],,0.85,True,False
747,109,木槿,七月,明,吴宽,槿,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
746,110,木槿,七月,元,舒頔,白槿花,,,0.0,[],[],lover,爱人,0.82,"[""lover""]",[],,0.82,True,False
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,,,0.0,[],[],lover,爱人,0.82,"[""lover""]",[],,0.82,True,False
748,112,木槿,七月,唐,李商隐,槿 花(其-),farewell,送别,0.9,"[""farewell""]","[[""分别""]]",,,0.0,[],[],,0.9,True,False
764,113,蓼花,七月,宋,宋祁,蓼 花,self_expression,托物言志,0.78,"[""self_expression""]","[[""自喻"", ""抒怀""]]",friend,友人,0.85,"[""friend""]",[],,0.815,True,False
783,114,芦花,七月,明,徐,芦 花,,,0.0,[],[],lover,爱人,0.82,"[""lover"", ""family"", ""friend""]",[],,0.82,True,False
789,115,金银花,七月,清,王夫之,金钗股,retirement,归隐,0.765,"[""retirement""]","[[""隐逸""]]",family,家人,0.85,"[""family""]",[],,0.807,True,False
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,promotion,升职祝贺,0.765,"[""promotion""]","[[""及第""]]",,,0.0,[],[],,0.765,True,False
768,117,蓼花,七月,清,朱彝尊,迷仙引,,,0.0,[],[],family,家人,0.85,"[""family"", ""lover""]",[],,0.85,True,False
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,homesick,思乡怀人,0.85,"[""homesick"", ""wedding""]","[[""思乡"", ""故乡"", ""游子""], [""鸳鸯""]]",lover,爱人,0.82,"[""lover""]",[],,0.835,True,False
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,celebration,喜庆祝贺,0.615,"[""celebration""]","[[""吉祥""]]",,,0.0,[],[],,0.615,False,False
781,120,紫薇,七月,宋,陆游,紫 薇,promotion,升职祝贺,0.765,"[""promotion"", ""self_expression""]","[[""进士""], [""抒怀""]]",,,0.0,[],[],,0.765,True,False
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,promotion,升职祝贺,0.85,"[""promotion""]","[[""及第"", ""登科""]]",,,0.0,[],"[""富贵"", ""吉祥"", ""月亮"", ""科举""]",富贵、吉祥、月亮,0.85,True,False
804,122,桂花,八月,唐,白居易,东城桂,self_expression,托物言志,0.585,"[""self_expression""]","[[""寄托""]]",lover,爱人,0.82,"[""lover"", ""family""]","[""富贵"", ""吉祥"", ""月亮"", ""科举""]",富贵、吉祥、月亮,0.702,True,False
817,123,桂花,八月,宋,吴文英,古香慢,homesick,思乡怀人,0.765,"[""homesick""]","[[""故园""]]",teacher,师长,0.87,"[""teacher"", ""family"", ""lover""]","[""富贵"", ""吉祥"", ""月亮"", ""科举""]",富贵、吉祥、月亮,0.818,True,False
824,124,秋葵,八月,宋,晏殊,菩萨蛮,self_expression,托物言志,0.78,"[""self_expression""]","[[""自喻"", ""抒怀""]]",,,0.0,[],[],,0.78,True,False
827,125,滴滴金,八月,宋,陶弱,滴滴金,promotion,升职祝贺,0.765,"[""promotion""]","[[""及第""]]",family,家人,0.85,"[""family""]",[],,0.807,True,False
829,126,金钱花,八月,唐,罗隐,咏金钱花,promotion,升职祝贺,0.765,"[""promotion""]","[[""进士""]]",,,0.0,[],[],,0.765,True,False
832,127,蘋花,八月,清,岑霁,蘋 花,homesick,思乡怀人,0.85,"[""homesick"", ""wedding""]","[[""思乡"", ""乡愁"", ""思归""], [""鸳鸯""]]",family,家人,0.85,"[""family"", ""lover""]",[],,0.85,True,False
857,128,菊花,八月,明,陈宪章,晚香轩,retirement,归隐,0.765,"[""retirement"", ""self_expression""]","[[""归隐""], [""自况""]]",self,自赠/自述,0.88,"[""self"", ""teacher""]","[""隐逸"", ""清雅"", ""傲霜"", ""高洁""]",隐逸、清雅、傲霜,0.823,True,False
856,129,菊花,八月,明,高启,晚香轩,retirement,归隐,0.85,"[""retirement"", ""homesick""]","[[""归隐"", ""隐居"", ""辞官""], [""漂泊""]]",,,0.0,[],"[""隐逸"", ""清雅"", ""傲霜"", ""高洁""]",隐逸、清雅、傲霜,0.85,True,False
798,130,桂花,八月,宋,曾几,岩 桂,retirement,归隐,0.765,"[""retirement""]","[[""隐居""]]",family,家人,0.85,"[""family""]","[""富贵"", ""吉祥"", ""月亮"", ""科举""]",富贵、吉祥、月亮,0.807,True,False
853,131,菊花,八月,唐,李山甫,刘员外寄移菊,wedding,婚嫁,0.88,"[""wedding"", ""promotion"", ""self_expression""]","[[""嫁""], [""进士""]]",self,自赠/自述,0.88,"[""self"", ""colleague""]","[""隐逸"", ""清雅"", ""傲霜"", ""高洁""]",隐逸、清雅、傲霜,0.88,True,False
796,132,桂花,八月,元,倪瓒,桂 花,celebration,喜庆祝贺,0.82,"[""celebration"", ""wedding"", ""homesick"", ""departure""]","[[""庆贺"", ""大喜""], [""鸳鸯""]]",friend,友人,0.85,"[""friend"", ""lover""]","[""富贵"", ""吉祥"", ""月亮"", ""科举""]",富贵、吉祥、月亮,0.835,True,False
